adx_max,band_mult,trades,win_rate,profit_factor,sharpe,return_pct
18,1.0,40,52.5,1.45,2.68,0.3
18,1.5,23,65.2,1.45,2.69,0.2
15,1.0,16,50.0,1.35,2.15,0.1
30,2.5,35,54.3,1.34,2.1,0.3
25,2.5,20,60.0,1.32,2.0,0.1
18,1.25,31,54.8,1.29,1.85,0.2
20,1.0,61,45.9,1.14,0.92,0.1
30,1.5,108,48.1,1.11,0.76,0.3
30,1.25,141,46.1,1.08,0.53,0.3
18,1.75,20,60.0,1.07,0.46,0.0
22,1.25,73,46.6,1.01,0.08,0.0
30,1.75,93,48.4,0.99,-0.06,-0.0
20,1.25,49,46.9,0.98,-0.18,-0.0
22,1.5,55,49.1,0.97,-0.19,-0.0
30,1.0,168,38.7,0.97,-0.22,-0.1
22,1.0,87,40.2,0.96,-0.27,-0.1
25,1.5,79,48.1,0.93,-0.56,-0.2
20,1.5,36,50.0,0.91,-0.69,-0.1
25,1.25,107,45.8,0.9,-0.74,-0.3
30,2.0,64,45.3,0.89,-0.83,-0.2
25,1.0,127,38.6,0.84,-1.19,-0.4
25,2.0,45,48.9,0.82,-1.45,-0.3
20,1.75,32,50.0,0.79,-1.68,-0.2
22,1.75,49,49.0,0.79,-1.71,-0.3
25,1.75,68,48.5,0.79,-1.71,-0.4
22,2.0,34,47.1,0.73,-2.24,-0.3
20,2.0,21,42.9,0.59,-3.77,-0.3
12,1.0,7,0.0,0.0,0.0,0.0
12,1.25,5,0.0,0.0,0.0,0.0
12,1.5,4,0.0,0.0,0.0,0.0
12,1.75,3,0.0,0.0,0.0,0.0
12,2.0,1,0.0,0.0,0.0,0.0
12,2.5,0,0.0,0.0,0.0,0.0
15,1.25,11,0.0,0.0,0.0,0.0
15,1.5,9,0.0,0.0,0.0,0.0
15,1.75,7,0.0,0.0,0.0,0.0
15,2.0,1,0.0,0.0,0.0,0.0
15,2.5,0,0.0,0.0,0.0,0.0
18,2.0,12,0.0,0.0,0.0,0.0
18,2.5,3,0.0,0.0,0.0,0.0
20,2.5,6,0.0,0.0,0.0,0.0
22,2.5,14,0.0,0.0,0.0,0.0
